N,narrow_square,wide_square,true_value,narrow_error,wide_error
29100,0.941581,0.950497,0.820557,0.121024,0.129941
29600,0.94223,0.951521,0.820557,0.121673,0.130964
30100,0.942151,0.950573,0.820557,0.121594,0.130016
30600,0.942443,0.948385,0.820557,0.121886,0.127828
31100,0.941921,0.949081,0.820557,0.121364,0.128524
31600,0.942247,0.948216,0.820557,0.12169,0.127659
32100,0.941939,0.94647,0.820557,0.121382,0.125913
32600,0.942216,0.949548,0.820557,0.121659,0.128992
33100,0.942636,0.951653,0.820557,0.122079,0.131096
33600,0.942746,0.950802,0.820557,0.122189,0.130245
34100,0.943475,0.952256,0.820557,0.122918,0.131699
34600,0.943244,0.953949,0.820557,0.122687,0.133393
35100,0.942842,0.955318,0.820557,0.122285,0.134761
35600,0.942837,0.952005,0.820557,0.12228,0.131448
36100,0.943248,0.953631,0.820557,0.122691,0.133074
36600,0.943374,0.956807,0.820557,0.122817,0.13625
37100,0.943834,0.955966,0.820557,0.123277,0.13541
37600,0.944116,0.955407,0.820557,0.123559,0.13485
38100,0.944521,0.954862,0.820557,0.123964,0.134305
38600,0.94443,0.953575,0.820557,0.123873,0.133018
39100,0.944693,0.951327,0.820557,0.124136,0.13077
39600,0.94517,0.953064,0.820557,0.124614,0.132507
40100,0.944576,0.952575,0.820557,0.124019,0.132019
40600,0.944797,0.953057,0.820557,0.12424,0.1325
41100,0.945195,0.954472,0.820557,0.124638,0.133916
41600,0.944832,0.95305,0.820557,0.124275,0.132493
42100,0.944537,0.953739,0.820557,0.12398,0.133182
42600,0.943955,0.952359,0.820557,0.123399,0.131802
43100,0.943794,0.950108,0.820557,0.123237,0.129551
43600,0.94332,0.949692,0.820557,0.122763,0.129135
44100,0.943594,0.947522,0.820557,0.123037,0.126966
44600,0.943498,0.948671,0.820557,0.122941,0.128114
45100,0.943431,0.950657,0.820557,0.122874,0.1301
45600,0.943586,0.949827,0.820557,0.123029,0.12927
46100,0.943764,0.951124,0.820557,0.123207,0.130568
46600,0.944018,0.950307,0.820557,0.123461,0.129751
47100,0.944135,0.949095,0.820557,0.123578,0.128538
47600,0.944065,0.949338,0.820557,0.123508,0.128781
48100,0.943815,0.950789,0.820557,0.123258,0.130232
48600,0.94357,0.947408,0.820557,0.123013,0.126851
49100,0.94361,0.946869,0.820557,0.123053,0.126312
49600,0.943826,0.948888,0.820557,0.123269,0.128331
50100,0.944336,0.949703,0.820557,0.123779,0.129146
50600,0.944219,0.948196,0.820557,0.123663,0.12764
51100,0.944276,0.948622,0.820557,0.123719,0.128065
51600,0.944234,0.9513,0.820557,0.123678,0.130743
52100,0.944146,0.949821,0.820557,0.123589,0.129264
52600,0.944415,0.94874,0.820557,0.123859,0.128183
53100,0.944609,0.948778,0.820557,0.124052,0.128221
53600,0.944286,0.948452,0.820557,0.12373,0.127896
54100,0.944108,0.949571,0.820557,0.123551,0.129014
54600,0.944345,0.949066,0.820557,0.123788,0.128509
55100,0.94426,0.948041,0.820557,0.123704,0.127484
55600,0.944379,0.948957,0.820557,0.123823,0.128401
56100,0.944251,0.946738,0.820557,0.123694,0.126182
56600,0.944037,0.94662,0.820557,0.12348,0.126063
57100,0.94433,0.947695,0.820557,0.123773,0.127139
57600,0.944271,0.947908,0.820557,0.123714,0.127351
58100,0.944342,0.946946,0.820557,0.123785,0.126389
58600,0.944283,0.947825,0.820557,0.123726,0.127268
59100,0.943655,0.946387,0.820557,0.123098,0.12583
59600,0.943855,0.947745,0.820557,0.123298,0.127188
60100,0.943968,0.947463,0.820557,0.123412,0.126907
60600,0.943647,0.946545,0.820557,0.12309,0.125988
61100,0.943556,0.946596,0.820557,0.122999,0.126039
61600,0.943567,0.94633,0.820557,0.123011,0.125773
62100,0.943559,0.946382,0.820557,0.123002,0.125825
62600,0.943371,0.945501,0.820557,0.122814,0.124944
63100,0.943661,0.94525,0.820557,0.123104,0.124694
63600,0.943652,0.944087,0.820557,0.123095,0.12353
64100,0.943721,0.944458,0.820557,0.123164,0.123901
64600,0.943943,0.94392,0.820557,0.123387,0.123363
65100,0.944124,0.944585,0.820557,0.123568,0.124029
65600,0.944245,0.94361,0.820557,0.123689,0.123054
66100,0.944308,0.942062,0.820557,0.123751,0.121505
66600,0.944238,0.941704,0.820557,0.123681,0.121147
67100,0.944486,0.941787,0.820557,0.123929,0.12123
67600,0.944416,0.94158,0.820557,0.123859,0.121023
68100,0.944512,0.941234,0.820557,0.123955,0.120677
68600,0.944497,0.940043,0.820557,0.12394,0.119486
69100,0.944211,0.940838,0.820557,0.123654,0.120281
69600,0.944217,0.940924,0.820557,0.12366,0.120367
70100,0.944169,0.93976,0.820557,0.123612,0.119203
70600,0.944086,0.938338,0.820557,0.12353,0.117781
71100,0.944198,0.938713,0.820557,0.123641,0.118156
71600,0.944448,0.938268,0.820557,0.123891,0.117711
72100,0.944417,0.938233,0.820557,0.123861,0.117676
72600,0.944353,0.938467,0.820557,0.123796,0.11791
73100,0.944357,0.937235,0.820557,0.1238,0.116678
73600,0.944361,0.937077,0.820557,0.123805,0.11652
74100,0.944568,0.935346,0.820557,0.124011,0.114789
74600,0.944571,0.936766,0.820557,0.124014,0.116209
75100,0.944507,0.938814,0.820557,0.12395,0.118257
75600,0.944726,0.940192,0.820557,0.124169,0.119635
76100,0.944563,0.940786,0.820557,0.124006,0.120229
76600,0.94455,0.941499,0.820557,0.123993,0.120942
77100,0.944455,0.940941,0.820557,0.123898,0.120385
77600,0.944378,0.939765,0.820557,0.123821,0.119208
78100,0.944526,0.939475,0.820557,0.123969,0.118918
78600,0.94445,0.93993,0.820557,0.123893,0.119373
79100,0.944548,0.940626,0.820557,0.123991,0.120069
79600,0.944582,0.940946,0.820557,0.124025,0.12039
80100,0.944476,0.940777,0.820557,0.123919,0.120221
80600,0.944432,0.94049,0.820557,0.123876,0.119933
81100,0.944343,0.940086,0.820557,0.123787,0.119529
81600,0.944271,0.939211,0.820557,0.123714,0.118654
82100,0.944351,0.939293,0.820557,0.123795,0.118736
82600,0.944355,0.94114,0.820557,0.123798,0.120584
83100,0.944389,0.942029,0.820557,0.123832,0.121472
83600,0.944393,0.941163,0.820557,0.123836,0.120606
84100,0.944367,0.940539,0.820557,0.12381,0.119982
84600,0.944193,0.940151,0.820557,0.123636,0.119594
85100,0.944345,0.941254,0.820557,0.123788,0.120697
85600,0.944349,0.942343,0.820557,0.123792,0.121786
86100,0.944323,0.942629,0.820557,0.123767,0.122073
86600,0.944443,0.941902,0.820557,0.123886,0.121345
87100,0.944331,0.941183,0.820557,0.123774,0.120626
87600,0.944392,0.940694,0.820557,0.123835,0.120137
88100,0.944339,0.93999,0.820557,0.123782,0.119434
88600,0.944413,0.939294,0.820557,0.123856,0.118738
89100,0.944501,0.940025,0.820557,0.123944,0.119468
89600,0.944741,0.939879,0.820557,0.124184,0.119322
90100,0.944728,0.939303,0.820557,0.124171,0.118746
90600,0.944578,0.94088,0.820557,0.124021,0.120323
91100,0.944566,0.940625,0.820557,0.12401,0.120068
91600,0.944555,0.941434,0.820557,0.123998,0.120877
92100,0.944435,0.940968,0.820557,0.123879,0.120411
92600,0.944249,0.940506,0.820557,0.123693,0.11995
93100,0.944294,0.941303,0.820557,0.123737,0.120746
93600,0.944164,0.94043,0.820557,0.123607,0.119873
94100,0.944354,0.940392,0.820557,0.123798,0.119835
94600,0.944371,0.94056,0.820557,0.123814,0.120003
95100,0.944361,0.941135,0.820557,0.123804,0.120579
95600,0.944613,0.940993,0.820557,0.124056,0.120436
96100,0.944485,0.940953,0.820557,0.123928,0.120396
96600,0.94441,0.942624,0.820557,0.123853,0.122068
97100,0.944722,0.943478,0.820557,0.124165,0.122921
97600,0.944608,0.944322,0.820557,0.124051,0.123765
98100,0.944419,0.943969,0.820557,0.123862,0.123412
98600,0.944777,0.944506,0.820557,0.12422,0.12395
99100,0.944715,0.943665,0.820557,0.124158,0.123108
99600,0.944729,0.943418,0.820557,0.124172,0.122861
